Time (s),Voltage (V)
-1.4e-05,0.0
-1.3999875e-05,0.0
-1.399975e-05,0.0
-1.3999624999999999e-05,0.0
-1.3999499999999999e-05,0.0
-1.3999374999999998e-05,0.0
-1.3999249999999998e-05,0.0
-1.3999124999999998e-05,0.0
-1.3998999999999998e-05,0.0
-1.3998874999999997e-05,0.0
-1.3998749999999997e-05,0.0
-1.3998624999999997e-05,0.0
-1.3998499999999997e-05,0.0
-1.3998374999999996e-05,0.0
-1.3998249999999996e-05,0.0
-1.3998124999999996e-05,0.0
-1.3997999999999995e-05,0.0
-1.3997874999999995e-05,0.0
-1.3997749999999995e-05,0.0
-1.3997624999999995e-05,0.0
-1.3997499999999994e-05,0.0
-1.3997374999999994e-05,0.0
-1.3997249999999994e-05,0.0
-1.3997124999999993e-05,0.0
-1.3996999999999993e-05,0.0
-1.3996874999999993e-05,0.0
-1.3996749999999993e-05,0.0
-1.3996624999999992e-05,0.0
-1.3996499999999992e-05,0.0
-1.3996374999999992e-05,0.0
-1.3996249999999992e-05,0.0
-1.3996124999999991e-05,0.0
-1.3995999999999991e-05,0.0
-1.399587499999999e-05,0.0
-1.399574999999999e-05,0.0
-1.399562499999999e-05,0.0
-1.399549999999999e-05,0.0
-1.399537499999999e-05,0.0
-1.399524999999999e-05,0.0
-1.3995124999999989e-05,0.0
-1.3994999999999989e-05,0.0
-1.3994874999999989e-05,0.0
-1.3994749999999988e-05,0.0
-1.3994624999999988e-05,0.0
-1.3994499999999988e-05,0.0
-1.3994374999999987e-05,0.0
-1.3994249999999987e-05,0.0
-1.3994124999999987e-05,0.0
-1.3993999999999987e-05,0.0
-1.3993874999999986e-05,0.0
-1.3993749999999986e-05,0.0
-1.3993624999999986e-05,0.0
-1.3993499999999986e-05,0.0
-1.3993374999999985e-05,0.0
-1.3993249999999985e-05,0.0
-1.3993124999999985e-05,0.0
-1.3992999999999984e-05,0.0
-1.3992874999999984e-05,0.0
-1.3992749999999984e-05,0.0
-1.3992624999999984e-05,0.0
-1.3992499999999983e-05,0.0
-1.3992374999999983e-05,0.0
-1.3992249999999983e-05,0.0
-1.3992124999999983e-05,0.0
-1.3991999999999982e-05,0.0
-1.3991874999999982e-05,0.0
-1.3991749999999982e-05,0.0
-1.3991624999999981e-05,0.0
-1.3991499999999981e-05,0.0
-1.3991374999999981e-05,0.04338928
-1.399124999999998e-05,0.04338928
-1.399112499999998e-05,0.04338928
-1.399099999999998e-05,0.04338928
-1.399087499999998e-05,0.04338928
-1.399074999999998e-05,0.04338928
-1.399062499999998e-05,0.04338928
-1.3990499999999979e-05,0.04338928
-1.3990374999999979e-05,0.0
-1.3990249999999978e-05,0.0
-1.3990124999999978e-05,0.0
-1.3989999999999978e-05,0.0
-1.3989874999999978e-05,0.0
-1.3989749999999977e-05,0.0
-1.3989624999999977e-05,0.0
-1.3989499999999977e-05,0.0
-1.3989374999999976e-05,0.0
-1.3989249999999976e-05,0.0
-1.3989124999999976e-05,0.0
-1.3988999999999976e-05,0.0
-1.3988874999999975e-05,0.0
-1.3988749999999975e-05,0.0
-1.3988624999999975e-05,0.0
-1.3988499999999975e-05,0.0
-1.3988374999999974e-05,0.0
-1.3988249999999974e-05,0.0
-1.3988124999999974e-05,0.0
-1.3987999999999973e-05,0.0
-1.3987874999999973e-05,0.0
-1.3987749999999973e-05,0.0
-1.3987624999999973e-05,0.0
-1.3987499999999972e-05,0.0
-1.3987374999999972e-05,0.0
-1.3987249999999972e-05,0.0
-1.3987124999999972e-05,0.0
